MiniDOT Logger Concatenated Data File
Sensor:             7450-030944
Concatenation Date: 2023Aug17 11:26:11 AST

DO concentration compensated for salinity: 40.5 (ppt)
Saturation computed at elevation: 0.0 (meter)

"            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q"
"                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)"
"                1690276260,           2023-07-25 09:11:00,           2023-07-25 12:11:00,      3.500000,     34.876000,          6.521618,                   116.216423,      0.950000"
"                1690276860,           2023-07-25 09:21:00,           2023-07-25 12:21:00,      3.500000,     34.975000,          6.512012,                   116.218354,      0.949000"
"                1690277460,           2023-07-25 09:31:00,           2023-07-25 12:31:00,      3.500000,     34.662000,          6.361026,                   112.989536,      0.951000"
"                1690278060,           2023-07-25 09:41:00,           2023-07-25 12:41:00,      3.500000,     34.617000,          6.431527,                   114.164262,      0.950000"
"                1690278660,           2023-07-25 09:51:00,           2023-07-25 12:51:00,      3.510000,     34.635000,          6.433295,                   114.226677,      0.950000"
"                1690279260,           2023-07-25 10:01:00,           2023-07-25 13:01:00,      3.510000,     34.581000,          6.464238,                   114.682576,      0.951000"
"                1690279860,           2023-07-25 10:11:00,           2023-07-25 13:11:00,      3.510000,     34.581000,          6.435240,                   114.168112,      0.952000"
"                1690280460,           2023-07-25 10:21:00,           2023-07-25 13:21:00,      3.510000,     34.617000,          6.459721,                   114.664731,      0.951000"
"                1690281060,           2023-07-25 10:31:00,           2023-07-25 13:31:00,      3.510000,     34.626000,          6.382466,                   113.308789,      0.950000"
"                1690281660,           2023-07-25 10:41:00,           2023-07-25 13:41:00,      3.510000,     34.778000,          6.472411,                   115.169336,      0.950000"
"                1690282260,           2023-07-25 10:51:00,           2023-07-25 13:51:00,      3.510000,     34.912000,          6.509041,                   116.055206,      0.949000"
"                1690282860,           2023-07-25 11:01:00,           2023-07-25 14:01:00,      3.510000,     35.047000,          6.590022,                   117.738061,      0.949000"
"                1690283460,           2023-07-25 11:11:00,           2023-07-25 14:11:00,      3.510000,     35.145000,          6.603788,                   118.158014,      0.949000"
"                1690284060,           2023-07-25 11:21:00,           2023-07-25 14:21:00,      3.510000,     35.235000,          6.721489,                   120.426719,      0.949000"
"                1690284660,           2023-07-25 11:31:00,           2023-07-25 14:31:00,      3.510000,     35.442000,          6.764481,                   121.574138,      0.947000"
"                1690285260,           2023-07-25 11:41:00,           2023-07-25 14:41:00,      3.520000,     35.522000,          6.837791,                   123.039207,      0.946000"
"                1690285860,           2023-07-25 11:51:00,           2023-07-25 14:51:00,      3.520000,     35.612000,          6.935408,                   124.964124,      0.947000"
"                1690286460,           2023-07-25 12:01:00,           2023-07-25 15:01:00,      3.520000,     35.666000,          7.052876,                   127.183520,      0.948000"
"                1690287060,           2023-07-25 12:11:00,           2023-07-25 15:11:00,      3.520000,     35.775000,          7.116022,                   128.531752,      0.947000"
"                1690287660,           2023-07-25 12:21:00,           2023-07-25 15:21:00,      3.520000,     35.720000,          7.061450,                   127.441119,      0.946000"
"                1690288260,           2023-07-25 12:31:00,           2023-07-25 15:31:00,      3.520000,     35.811000,          7.134113,                   128.927928,      0.947000"
"                1690288860,           2023-07-25 12:41:00,           2023-07-25 15:41:00,      3.520000,     35.937000,          7.143374,                   129.338732,      0.945000"
"                1690289460,           2023-07-25 12:51:00,           2023-07-25 15:51:00,      3.520000,     35.991000,          7.196342,                   130.402950,      0.946000"
"                1690290060,           2023-07-25 13:01:00,           2023-07-25 16:01:00,      3.520000,     35.973000,          7.192135,                   130.291683,      0.946000"
"                1690290660,           2023-07-25 13:11:00,           2023-07-25 16:11:00,      3.520000,     35.766000,          7.159504,                   129.299722,      0.947000"
"                1690291260,           2023-07-25 13:21:00,           2023-07-25 16:21:00,      3.520000,     35.693000,          7.199145,                   129.873663,      0.949000"
