MiniDOT Logger Concatenated Data File,,,,,,,,,
Sensor:             7450-296666,,,,,,,,,
Concatenation Date: 2023Aug09 10:54:55 AST,,,,,,,,,
,,,,,,,,,
DO concentration compensated for salinity: 40.0 (ppt),,,,,,,,,
Saturation computed at elevation: 0.0 (meter),,,,,,,,,
,,,,,,,,,
            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q,,
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none),,
1690271460,           2023-07-25 07:51:00,           2023-07-25 10:51:00,3.47,36.478,5.289741,96.297324,0.905,296666,wiper
1690272060,           2023-07-25 08:01:00,           2023-07-25 11:01:00,3.48,34.234,6.105588,107.463917,0.911,296666,wiper
1690272660,           2023-07-25 08:11:00,           2023-07-25 11:11:00,3.48,34.279,6.368346,112.16517,0.911,296666,wiper
1690273260,           2023-07-25 08:21:00,           2023-07-25 11:21:00,3.49,34.386,6.567093,115.853275,0.912,296666,wiper
1690273860,           2023-07-25 08:31:00,           2023-07-25 11:31:00,3.49,34.537,6.631421,117.25569,0.911,296666,wiper
1690274460,           2023-07-25 08:41:00,           2023-07-25 11:41:00,3.49,34.555,6.878721,121.661511,0.908,296666,wiper
1690275060,           2023-07-25 08:51:00,           2023-07-25 11:51:00,3.49,34.68,7.003464,124.101983,0.909,296666,wiper
1690275660,           2023-07-25 09:01:00,           2023-07-25 12:01:00,3.49,34.787,6.874395,122.011798,0.909,296666,wiper
1690276260,           2023-07-25 09:11:00,           2023-07-25 12:11:00,3.49,34.957,6.935752,123.416795,0.91,296666,wiper
1690276860,           2023-07-25 09:21:00,           2023-07-25 12:21:00,3.49,35.046,7.001227,124.749034,0.909,296666,wiper
1690277460,           2023-07-25 09:31:00,           2023-07-25 12:31:00,3.49,34.6,6.623097,117.220084,0.909,296666,wiper
1690278060,           2023-07-25 09:41:00,           2023-07-25 12:41:00,3.5,34.457,6.572565,116.07448,0.911,296666,wiper
1690278660,           2023-07-25 09:51:00,           2023-07-25 12:51:00,3.5,34.492,6.540571,115.570628,0.91,296666,wiper
1690279260,           2023-07-25 10:01:00,           2023-07-25 13:01:00,3.5,34.412,6.465579,114.107317,0.91,296666,wiper
1690279860,           2023-07-25 10:11:00,           2023-07-25 13:11:00,3.5,34.457,6.476468,114.377359,0.91,296666,wiper
1690280460,           2023-07-25 10:21:00,           2023-07-25 13:21:00,3.5,34.386,6.413675,113.146756,0.91,296666,wiper
1690281060,           2023-07-25 10:31:00,           2023-07-25 13:31:00,3.5,34.394,6.262747,110.497542,0.91,296666,wiper
1690281660,           2023-07-25 10:41:00,           2023-07-25 13:41:00,3.5,34.51,6.349329,112.22196,0.91,296666,wiper
1690282260,           2023-07-25 10:51:00,           2023-07-25 13:51:00,3.5,34.617,6.447166,114.135663,0.91,296666,wiper
1690282860,           2023-07-25 11:01:00,           2023-07-25 14:01:00,3.5,34.68,6.448518,114.268297,0.91,296666,wiper
1690283460,           2023-07-25 11:11:00,           2023-07-25 14:11:00,3.5,34.805,6.699242,118.935361,0.91,296666,wiper
1690284060,           2023-07-25 11:21:00,           2023-07-25 14:21:00,3.5,34.921,6.743913,119.93807,0.909,296666,wiper
1690284660,           2023-07-25 11:31:00,           2023-07-25 14:31:00,3.5,35.118,6.868535,122.517443,0.91,296666,wiper
1690285260,           2023-07-25 11:41:00,           2023-07-25 14:41:00,3.5,35.208,6.985758,124.777253,0.91,296666,wiper
1690285860,           2023-07-25 11:51:00,           2023-07-25 14:51:00,3.5,35.235,7.108881,127.028015,0.908,296666,wiper
1690286460,           2023-07-25 12:01:00,           2023-07-25 15:01:00,3.5,35.324,7.29971,130.612556,0.908,296666,wiper
1690287060,           2023-07-25 12:11:00,           2023-07-25 15:11:00,3.51,35.468,7.438565,133.385254,0.909,296666,wiper
1690287660,           2023-07-25 12:21:00,           2023-07-25 15:21:00,3.5,35.369,7.181292,128.580624,0.908,296666,wiper
1690288260,           2023-07-25 12:31:00,           2023-07-25 15:31:00,3.51,35.441,7.284667,130.572666,0.908,296666,wiper
1690288860,           2023-07-25 12:41:00,           2023-07-25 15:41:00,3.51,35.513,7.331453,131.553382,0.908,296666,wiper
1690289460,           2023-07-25 12:51:00,           2023-07-25 15:51:00,3.51,35.594,7.39451,132.846191,0.908,296666,wiper
1690290060,           2023-07-25 13:01:00,           2023-07-25 16:01:00,3.51,35.504,7.291741,130.823138,0.908,296666,wiper
1690290660,           2023-07-25 13:11:00,           2023-07-25 16:11:00,3.5,35.315,7.123378,127.440236,0.908,296666,wiper
1690291260,           2023-07-25 13:21:00,           2023-07-25 16:21:00,3.51,35.333,7.194694,128.750934,0.908,296666,wiper
1690291860,           2023-07-25 13:31:00,           2023-07-25 16:31:00,3.51,35.235,7.022385,125.482416,0.908,296666,wiper
1690292460,           2023-07-25 13:41:00,           2023-07-25 16:41:00,3.51,35.082,6.928015,123.511456,0.909,296666,wiper
1690293060,           2023-07-25 13:51:00,           2023-07-25 16:51:00,3.51,34.939,6.728722,119.700369,0.909,296666,wiper
1690293660,           2023-07-25 14:01:00,           2023-07-25 17:01:00,3.51,34.859,6.645591,118.079004,0.909,296666,wiper
1690294260,           2023-07-25 14:11:00,           2023-07-25 17:11:00,3.51,34.805,6.59906,117.156781,0.909,296666,wiper
1690294860,           2023-07-25 14:21:00,           2023-07-25 17:21:00,3.51,34.796,6.586055,116.910004,0.91,296666,wiper
1690295460,           2023-07-25 14:31:00,           2023-07-25 17:31:00,3.51,34.832,6.620305,117.581832,0.909,296666,wiper
1690296060,           2023-07-25 14:41:00,           2023-07-25 17:41:00,3.51,34.841,6.813486,121.029305,0.906,296666,wiper
1690296660,           2023-07-25 14:51:00,           2023-07-25 17:51:00,3.51,34.787,6.710391,119.100951,0.906,296666,wiper
1690297260,           2023-07-25 15:01:00,           2023-07-25 18:01:00,3.51,34.751,6.873256,121.925326,0.908,296666,wiper
1690297860,           2023-07-25 15:11:00,           2023-07-25 18:11:00,3.51,34.725,6.731647,119.366447,0.908,296666,wiper
1690298460,           2023-07-25 15:21:00,           2023-07-25 18:21:00,3.52,34.68,6.596342,116.88775,0.908,296666,wiper
1690299060,           2023-07-25 15:31:00,           2023-07-25 18:31:00,3.52,34.635,6.506286,115.213609,0.909,296666,wiper
1690299660,           2023-07-25 15:41:00,           2023-07-25 18:41:00,3.52,34.6,6.61825,117.134313,0.907,296666,wiper
1690300260,           2023-07-25 15:51:00,           2023-07-25 18:51:00,3.52,34.573,6.571974,116.267822,0.907,296666,wiper
1690300860,           2023-07-25 16:01:00,           2023-07-25 19:01:00,3.52,34.475,6.266659,110.702185,0.906,296666,wiper
1690301460,           2023-07-25 16:11:00,           2023-07-25 19:11:00,3.52,34.475,6.432209,113.626663,0.908,296666,wiper
1690302060,           2023-07-25 16:21:00,           2023-07-25 19:21:00,3.52,34.626,7.090999,125.550657,0.911,296666,wiper
1690302660,           2023-07-25 16:31:00,           2023-07-25 19:31:00,3.52,34.519,6.724135,118.862696,0.91,296666,wiper
1690303260,           2023-07-25 16:41:00,           2023-07-25 19:41:00,3.52,34.296,6.433889,113.348757,0.91,296666,wiper
1690303860,           2023-07-25 16:51:00,           2023-07-25 19:51:00,3.51,34.127,6.135378,107.813167,0.909,296666,wiper
1690304460,           2023-07-25 17:01:00,           2023-07-25 20:01:00,3.52,34.012,5.851953,102.65338,0.908,296666,wiper
1690305060,           2023-07-25 17:11:00,           2023-07-25 20:11:00,3.51,33.967,5.71844,100.24279,0.907,296666,wiper
1690305660,           2023-07-25 17:21:00,           2023-07-25 20:21:00,3.52,33.923,5.692276,99.717448,0.907,296666,wiper
1690306260,           2023-07-25 17:31:00,           2023-07-25 20:31:00,3.52,33.923,5.895629,103.279795,0.91,296666,wiper
1690306860,           2023-07-25 17:41:00,           2023-07-25 20:41:00,3.52,33.887,5.783986,101.268602,0.91,296666,wiper
1690307460,           2023-07-25 17:51:00,           2023-07-25 20:51:00,3.52,33.763,5.503057,96.16842,0.909,296666,wiper
1690308060,           2023-07-25 18:01:00,           2023-07-25 21:01:00,3.52,33.71,5.26145,91.872066,0.907,296666,wiper
