data2,data1,loggerUid,logDateTime,dateTime,PAR,control
34.94,38159,CDFB19377155,1690547400,28-07-2023 15:30:00,714.7324,
34.94,35817,CDFB19377155,1690548000,28-07-2023 15:40:00,671.1712,
34.88,33598,CDFB19377155,1690548600,28-07-2023 15:50:00,629.8978,
34.81,31540,CDFB19377155,1690549200,28-07-2023 16:00:00,591.619,
34.75,29500,CDFB19377155,1690549800,28-07-2023 16:10:00,553.675,
34.69,27074,CDFB19377155,1690550400,28-07-2023 16:20:00,508.5514,
34.69,24375,CDFB19377155,1690551000,28-07-2023 16:30:00,458.35,
34.69,22658,CDFB19377155,1690551600,28-07-2023 16:40:00,426.4138,
34.63,20516,CDFB19377155,1690552200,28-07-2023 16:50:00,386.5726,
34.56,18731,CDFB19377155,1690552800,28-07-2023 17:00:00,353.3716,
34.5,16770,CDFB19377155,1690553400,28-07-2023 17:10:00,316.897,
34.31,14664,CDFB19377155,1690554000,28-07-2023 17:20:00,277.7254,
34.19,12620,CDFB19377155,1690554600,28-07-2023 17:30:00,239.707,
34.13,10731,CDFB19377155,1690555200,28-07-2023 17:40:00,204.5716,
34.06,8895,CDFB19377155,1690555800,28-07-2023 17:50:00,170.422,
33.94,7398,CDFB19377155,1690556400,28-07-2023 18:00:00,142.5778,
33.88,5958,CDFB19377155,1690557000,28-07-2023 18:10:00,115.7938,
33.69,4526,CDFB19377155,1690557600,28-07-2023 18:20:00,89.1586,
33.56,3273,CDFB19377155,1690558200,28-07-2023 18:30:00,65.8528,
33.44,2241,CDFB19377155,1690558800,28-07-2023 18:40:00,46.6576,
33.19,1402,CDFB19377155,1690559400,28-07-2023 18:50:00,31.0522,
33.06,708,CDFB19377155,1690560000,28-07-2023 19:00:00,18.1438,
32.94,236,CDFB19377155,1690560600,28-07-2023 19:10:00,9.3646,
32.88,76,CDFB19377155,1690561200,28-07-2023 19:20:00,6.3886,
32.69,9,CDFB19377155,1690561800,28-07-2023 19:30:00,5.1424,
32.56,0,CDFB19377155,1690562400,28-07-2023 19:40:00,4.975,
32.44,0,CDFB19377155,1690563000,28-07-2023 19:50:00,4.975,
32.38,0,CDFB19377155,1690563600,28-07-2023 20:00:00,4.975,
32.31,0,CDFB19377155,1690564200,28-07-2023 20:10:00,4.975,
32.19,0,CDFB19377155,1690564800,28-07-2023 20:20:00,4.975,
32.13,0,CDFB19377155,1690565400,28-07-2023 20:30:00,4.975,
32.06,0,CDFB19377155,1690566000,28-07-2023 20:40:00,4.975,
32.06,0,CDFB19377155,1690566600,28-07-2023 20:50:00,4.975,
32,0,CDFB19377155,1690567200,28-07-2023 21:00:00,4.975,
32,0,CDFB19377155,1690567800,28-07-2023 21:10:00,4.975,
32,0,CDFB19377155,1690568400,28-07-2023 21:20:00,4.975,
31.94,0,CDFB19377155,1690569000,28-07-2023 21:30:00,4.975,
31.94,0,CDFB19377155,1690569600,28-07-2023 21:40:00,4.975,
31.88,0,CDFB19377155,1690570200,28-07-2023 21:50:00,4.975,
31.88,0,CDFB19377155,1690570800,28-07-2023 22:00:00,4.975,
31.88,0,CDFB19377155,1690571400,28-07-2023 22:10:00,4.975,
31.81,0,CDFB19377155,1690572000,28-07-2023 22:20:00,4.975,
31.81,0,CDFB19377155,1690572600,28-07-2023 22:30:00,4.975,
31.88,0,CDFB19377155,1690573200,28-07-2023 22:40:00,4.975,
31.88,0,CDFB19377155,1690573800,28-07-2023 22:50:00,4.975,
